Name,Total Quantity,Quantity Available,Damaged Qty,Borrowed,Description
Raspberry Pi Set,35,35,0,-,"Also Include
 - Card Reader
 - SD Card
 - USB-C Power Supply
 - Micro HDMI

Note:
 - 1 sets: Missing USB-C power supply only.
 - 1 set: Missing USB-C power supply, SD card, and card reader.
 - Others: Keep incomplete sets as spare."
Bluetooth Speaker	AJ X-60 (includes Microphone),1,1,-,-,
USB-C to Ethernet Adapter,30,30,-,-,
USB Flash Drive (64GB) cruzer flair,5,5,-,-,
4K Webcam ,50,50,-,-,
HLK-LD2410 fmcw Human Presense sensor,2,2,-,-,For Student Competition (Not Return to Lab yet!!!)
Ceramic Piezo Vibration,2,2,-,-,For Student Competition (Not Return to Lab yet!!!)
Large Breadboard - ZY-208 (3220 holes),2,2,-,-,For Student Competition (Not Return to Lab yet!!!)
Rain Sensor with Relay Module,2,2,-,-,For Student Competition (Not Return to Lab yet!!!)
Soil Sensor (8-in-1) - SSSL8R,2,2,-,-,For Student Competition (Not Return to Lab yet!!!)
Barometric Pressure Sensor - BMP280 (Pressure & Temp),2,2,-,-,For Student Competition (Not Return to Lab yet!!!)
RS485 to TTL Module - MAX485,2,2,-,-,For Student Competition (Not Return to Lab yet!!!)
Barometric Pressure Sensor - BMP280 (Pressure & Temp),2,2,-,-,For Student Competition (Not Return to Lab yet!!!)
ESP 32 30pin ,40,~35,-,-,
Jumper wire pack,10,10,-,-,
4-channel Relay HAT for Raspberry PI,60,60,-,-,
pcb universal 9cm * 15cm บอดไข่ปลา ,100,100,-,-,
HDMI for VGA for Pi,50,50,-,-,
TC0103X TACT SWITCH 6*6*5mm,100,100,-,-,
2 channel 5V Active Low Relay Module,24,24,-,-,
Transistor 1/4w 5% 200R [PACK],1,1,-,-,
Transistor 1/4w 5% 430R [PACK],1,1,-,-,
Transistor 1/4w 5% 1K [PACK],1,1,-,-,
Transistor 1/4w 5% 3K [PACK],1,1,-,-,
soldering flux A3 white,30,30,-,-,
Cable tester LINK TX-1302,5,5,-,-,
Tools box 24slot HL 3045-c 19.5 inch,1,1,-,-,
UNO R3 starter kit,8,8,-,-,
PWR strip NOVA F5ST3-VS1-T7221,10,10,-,-,
poster HANGER 2m * 1.5m,10,10,-,-,
Desktop Computer,30,30,-,-,For Reverse Engineering
HDMI Splitter - MAGICTECH,2,2,-,-,
Router Cisco 2900 Series,30,30,-,-,
Extention Plug Strip,2,2,-,-,
Extention Plug Strip,1,1,-,-,
HDMI Switch ATEN,5,5,-,-,
HDMI Splitter  GLINK,2,2,-,-,
Extension Plug Stripe  CSC,6,6,-,-,
Extension Plug Stripe,3,3,-,-,
HDMI Splitter  TESmart,1,1,-,-,
Extension Plug Stripe,2,2,-,-,
Laptop DELL,10,10,-,-,
Keyboard Set Dell,1,1,-,-,
Mouse  Dell,2,2,-,-,
Mouse  Lenovo,1,1,-,-,
Mouse  Logitech,1,1,-,-,
Mouse  HP,1,1,-,-,
Battery Panasonic,37,37,-,-,
USB Hub and Card Reader Magic Tech,3,3,-,-,
USB-C to HDMI Belkin,4,4,-,-,
Wireless Charger OWIRE,2,2,-,-,
Battery  UltraFire18650,1,1,-,-,
Hard Disk Seagate,2,2,-,-,
Cable Tester,2,2,-,-,
Webcam AUKEY,1,1,-,-,
Webcam Logi,1,1,-,-,
Wifi Tp-link,1,1,-,-,
Pointer Logitech,3,3,-,-,
Power Adapter  Lenovo,1,1,-,-,
Power Adapter  Chicony,1,1,-,-,
Micro USB Cable,40,40,-,-,
Stereo cable,4,4,-,-,
